Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Newport,1/94 The Strand,3,h,1400000,PI,Greg,2016-07-05,8.4,3015,3,2,3,2522,195,2006,Hobsons Bay City Council,-37.8462,144.8944,Western Metropolitan,5498
Newport,37 Alma Tce,3,h,995000,SP,Greg,2016-07-11,8.4,3015,3,1,2,316,118,1960,Hobsons Bay City Council,-37.849,144.8907,Western Metropolitan,5498
Newport,3/5 Clyde St,3,t,600000,SN,Village,2016-07-11,8.4,3015,3,2,2,225,120,2006,Hobsons Bay City Council,-37.8437,144.8646,Western Metropolitan,5498
Newport,2 Jubilee St,3,h,600000,SP,Williams,2016-07-11,8.4,3015,3,1,4,529,120,1970,Hobsons Bay City Council,-37.8473,144.8719,Western Metropolitan,5498
Newport,33 Oxford St,4,h,1380000,S,Williams,2016-07-11,8.4,3015,4,1,4,766,120,1970,Hobsons Bay City Council,-37.839,144.8765,Western Metropolitan,5498
Newport,23 Alma Tce,3,h,1220000,S,Williams,2016-08-10,8.4,3015,3,2,0,311,120,1920,Hobsons Bay City Council,-37.85,144.8914,Western Metropolitan,5498
Newport,99 Anderson St,3,h,785000,S,RT,2016-08-10,8.4,3015,3,1,1,185,120,1970,Hobsons Bay City Council,-37.8447,144.8734,Western Metropolitan,5498
Newport,22 Mirls St,2,h,962000,S,Village,2016-08-10,8.4,3015,2,1,1,402,94,1920,Hobsons Bay City Council,-37.8446,144.8796,Western Metropolitan,5498
Newport,79 Blackshaws Rd,4,h,860000,PI,Sweeney,2016-10-09,8.4,3015,3,3,2,217,195,1970,Hobsons Bay City Council,-37.8344,144.8764,Western Metropolitan,5498
Newport,83 Challis St,5,h,1220000,S,Williams,2016-10-09,8.4,3015,5,3,2,681,120,1970,Hobsons Bay City Council,-37.8426,144.8731,Western Metropolitan,5498
Newport,39 Elizabeth St,3,h,930000,SP,Williams,2016-10-09,8.4,3015,3,1,1,307,120,1970,Hobsons Bay City Council,-37.8389,144.8779,Western Metropolitan,5498
Newport,42 Agg St,3,h,930000,SP,Greg,2016-10-12,8.4,3015,3,2,1,343,120,1970,Hobsons Bay City Council,-37.8432,144.8764,Western Metropolitan,5498
Newport,7 Effingham Rd,3,h,1305000,S,Greg,2016-10-12,8.4,3015,3,1,0,357,112,1900,Hobsons Bay City Council,-37.8459,144.8877,Western Metropolitan,5498
Newport,14 Jubilee St,3,h,1060000,SP,Sweeney,2016-10-12,8.4,3015,3,1,4,600,130,1970,Hobsons Bay City Council,-37.8472,144.8707,Western Metropolitan,5498
Newport,3/71 Oxford St,3,h,950000,S,RT,2016-10-12,8.4,3015,3,2,1,224,120,1970,Hobsons Bay City Council,-37.8364,144.8769,Western Metropolitan,5498
Newport,34 Franklin St,2,h,910000,S,Greg,2017-11-02,8.4,3015,2,1,1,264,120,1970,Hobsons Bay City Council,-37.8469,144.8872,Western Metropolitan,5498
Newport,21 Croker St,3,h,810000,S,Williams,2016-12-11,8.4,3015,3,1,1,390,84,1970,Hobsons Bay City Council,-37.847,144.8734,Western Metropolitan,5498
Newport,7 Rosshire Rd,3,h,776000,S,RT,2016-12-11,8.4,3015,3,1,3,363,120,1970,Hobsons Bay City Council,-37.8476,144.8673,Western Metropolitan,5498
Newport,87 Elizabeth St,3,h,1002500,S,Jas,2016-05-14,8.4,3015,3,1,2,501,120,1970,Hobsons Bay City Council,-37.8356,144.8785,Western Metropolitan,5498
Newport,10 Port St,3,h,807500,S,Sweeney,2016-05-14,8.4,3015,3,1,3,647,157,1970,Hobsons Bay City Council,-37.8481,144.8666,Western Metropolitan,5498
Newport,1 River St,2,h,1120000,S,RT,2016-05-14,8.4,3015,1,1,3,574,120,1970,Hobsons Bay City Council,-37.8414,144.8922,Western Metropolitan,5498
Newport,21 Tait St,3,h,950000,S,Greg,2016-05-14,8.4,3015,2,2,2,281,120,1950,Hobsons Bay City Council,-37.8431,144.8845,Western Metropolitan,5498
Newport,75 Woods St,4,h,1620000,S,Williams,2016-05-14,8.4,3015,4,3,1,425,233,2015,Hobsons Bay City Council,-37.8456,144.8741,Western Metropolitan,5498
Newport,73 Farm St,3,h,923000,S,Village,2016-10-15,8.4,3015,3,1,0,221,118,1900,Hobsons Bay City Council,-37.8415,144.8852,Western Metropolitan,5498
Newport,31 Milford St,2,h,1030000,S,Village,2016-10-15,8.4,3015,2,1,2,470,136,1930,Hobsons Bay City Council,-37.8471,144.8769,Western Metropolitan,5498
Newport,115 North Rd,3,h,1046000,SP,Sweeney,2016-10-15,8.4,3015,3,2,2,284,125,1890,Hobsons Bay City Council,-37.8446,144.8861,Western Metropolitan,5498
Newport,1/20 Walker St,2,u,600000,PI,Barlow,2016-10-15,8.4,3015,2,1,2,200,92,1996,Hobsons Bay City Council,-37.8414,144.882,Western Metropolitan,5498
Newport,5 Croker St,3,h,716000,S,Williams,2016-04-16,8.4,3015,3,1,2,268,120,1970,Hobsons Bay City Council,-37.8472,144.8754,Western Metropolitan,5498
Newport,1 Durkin St,2,h,740000,S,RT,2016-04-16,8.4,3015,2,2,1,213,127,2006,Hobsons Bay City Council,-37.8441,144.8805,Western Metropolitan,5498
Newport,91 High St,4,h,970000,S,Greg,2016-04-16,8.4,3015,3,1,1,619,151,1915,Hobsons Bay City Council,-37.839,144.8854,Western Metropolitan,5498
Newport,20 Bruce St,2,h,762000,S,Williams,2016-07-16,8.4,3015,2,1,2,451,120,1970,Hobsons Bay City Council,-37.8349,144.8714,Western Metropolitan,5498
Newport,153 Mason St,3,h,950000,S,Jas,2016-07-16,8.4,3015,3,1,2,453,145,1950,Hobsons Bay City Council,-37.8414,144.8707,Western Metropolitan,5498
Newport,6 Speight St,4,h,1280000,S,Raine,2016-07-16,8.4,3015,4,2,1,458,153,1930,Hobsons Bay City Council,-37.8427,144.879,Western Metropolitan,5498
Newport,15 Jubilee St,4,h,1040000,S,Greg,2016-09-17,8.4,3015,3,2,2,299,198,2004,Hobsons Bay City Council,-37.8477,144.8706,Western Metropolitan,5498
Newport,4 Peel St,5,h,2415000,S,Williams,2016-09-17,8.4,3015,3,3,2,803,293,1970,Hobsons Bay City Council,-37.8463,144.8935,Western Metropolitan,5498
Newport,21 Junction St,2,h,600000,W,Jas,2017-03-18,8.4,3015,2,1,2,480,120,1970,Hobsons Bay City Council,-37.8358,144.8803,Western Metropolitan,5498
Newport,4 Wilkins St,3,h,1675000,S,Williams,2017-03-18,8.4,3015,3,2,2,575,120,1970,Hobsons Bay City Council,-37.8468,144.8912,Western Metropolitan,5498
Newport,16 Blenheim Rd,3,h,1176000,S,hockingstuart,2016-06-18,8.4,3015,3,1,2,767,111,1960,Hobsons Bay City Council,-37.8466,144.8636,Western Metropolitan,5498
Newport,106 Johnston St,4,h,1265000,S,RT,2016-06-18,8.4,3015,5,2,2,774,185,1950,Hobsons Bay City Council,-37.8366,144.8758,Western Metropolitan,5498
Newport,94 Mason St,2,h,801000,SP,Williams,2016-06-18,8.4,3015,1,1,1,343,106,1920,Hobsons Bay City Council,-37.8414,144.8752,Western Metropolitan,5498
Newport,15 Bradley St,3,h,1185000,S,RT,2016-11-19,8.4,3015,3,1,2,771,120,1970,Hobsons Bay City Council,-37.8439,144.8715,Western Metropolitan,5498
Newport,4/27 Clyde St,3,t,770000,S,Greg,2016-11-19,8.4,3015,3,2,2,224,132,2015,Hobsons Bay City Council,-37.8424,144.8653,Western Metropolitan,5498
Newport,26 Elphin St,3,h,1200000,SP,Raine,2016-11-19,8.4,3015,3,2,0,288,120,1970,Hobsons Bay City Council,-37.8426,144.89,Western Metropolitan,5498
Newport,8 Agg St,3,h,993000,SP,Williams,2016-05-22,8.4,3015,3,2,2,348,158,1900,Hobsons Bay City Council,-37.8435,144.8788,Western Metropolitan,5498
Newport,29 Charlotte St,3,h,901000,SP,Trimson,2016-05-22,8.4,3015,3,1,1,557,120,1970,Hobsons Bay City Council,-37.8378,144.8657,Western Metropolitan,5498
Newport,8 Crawford St,2,h,650000,SP,Raine&Horne,2016-05-22,8.4,3015,2,1,1,149,62,1890,Hobsons Bay City Council,-37.8491,144.8903,Western Metropolitan,5498
Newport,279 Melbourne Rd,4,h,600000,SN,Williams,2016-05-22,8.4,3015,4,2,3,363,190,2002,Hobsons Bay City Council,-37.8472,144.886,Western Metropolitan,5498
Newport,60 Speight St,3,h,891500,SP,Sweeney,2016-08-22,8.4,3015,3,1,0,344,130,1920,Hobsons Bay City Council,-37.8424,144.8754,Western Metropolitan,5498
Newport,75 The Strand,4,h,3420000,PI,RT,2016-08-22,8.4,3015,4,2,2,757,120,1886,Hobsons Bay City Council,-37.849,144.8947,Western Metropolitan,5498
Newport,63 Mason St,3,h,805000,S,RT,2016-04-23,8.4,3015,3,1,2,322,104,1930,Hobsons Bay City Council,-37.8422,144.8784,Western Metropolitan,5498
Newport,5/67 Oxford St,2,h,680000,SP,RT,2016-04-23,8.4,3015,2,1,1,229,101,2000,Hobsons Bay City Council,-37.8368,144.8768,Western Metropolitan,5498
Newport,1/27 Clyde St,4,t,827500,S,Greg,2016-09-24,8.4,3015,4,3,2,221,120,1970,Hobsons Bay City Council,-37.8424,144.8653,Western Metropolitan,5498
Newport,16 Davies St,2,h,793000,S,Gunn&Co,2016-09-24,8.4,3015,2,1,1,144,140,1995,Hobsons Bay City Council,-37.845,144.8873,Western Metropolitan,5498
Newport,55 Elphin St,3,h,600000,SP,Raine,2016-09-24,8.4,3015,3,1,1,302,120,1970,Hobsons Bay City Council,-37.8426,144.8876,Western Metropolitan,5498
Newport,71 Hobson St,3,h,988000,SP,Jas,2016-09-24,8.4,3015,3,1,1,450,120,1970,Hobsons Bay City Council,-37.84,144.887,Western Metropolitan,5498
Newport,112 Mason St,3,t,747000,S,Jas,2016-09-24,8.4,3015,3,2,2,753,170,2005,Hobsons Bay City Council,-37.8413,144.8741,Western Metropolitan,5498
Newport,193 Mason St,3,h,910000,S,Greg,2016-09-24,8.4,3015,3,1,2,531,120,1970,Hobsons Bay City Council,-37.8409,144.8663,Western Metropolitan,5498
Newport,14 Oakbank St,2,h,896000,S,RT,2016-09-24,8.4,3015,2,1,0,297,95,1900,Hobsons Bay City Council,-37.8501,144.8931,Western Metropolitan,5498
Newport,69 William St,3,h,600000,S,RT,2016-09-24,8.4,3015,3,1,2,403,120,1970,Hobsons Bay City Council,-37.8378,144.8795,Western Metropolitan,5498
Newport,65 Alma Tce,2,h,890000,SP,Williams,2017-02-25,8.4,3015,2,1,0,168,90,1900,Hobsons Bay City Council,-37.8475,144.8897,Western Metropolitan,5498
Newport,50 Home Rd,3,h,1199000,S,Raine,2017-02-25,8.4,3015,3,1,3,506,120,1970,Hobsons Bay City Council,-37.841,144.8878,Western Metropolitan,5498
Newport,121 North Rd,3,h,1100000,SP,Williams,2017-02-25,8.4,3015,3,2,1,293,120,1970,Hobsons Bay City Council,-37.8446,144.8859,Western Metropolitan,5498
Newport,69 Oxford St,5,h,2015000,S,Williams,2017-02-25,8.4,3015,5,2,4,1017,120,1970,Hobsons Bay City Council,-37.8366,144.8769,Western Metropolitan,5498
Newport,26 Croker St,4,t,930000,PI,Greg,2016-07-26,8.4,3015,4,3,3,278,188,2009,Hobsons Bay City Council,-37.8468,144.874,Western Metropolitan,5498
Newport,176 Mason St,2,h,600000,SN,Raine,2016-07-26,8.4,3015,2,1,1,245,90,1948,Hobsons Bay City Council,-37.8406,144.8673,Western Metropolitan,5498
Newport,42 Farm St,3,h,1151000,S,Williams,2016-06-27,8.4,3015,2,1,5,571,120,1920,Hobsons Bay City Council,-37.8417,144.8896,Western Metropolitan,5498
Newport,8 Junction St,3,h,600000,SP,Williams,2016-06-27,8.4,3015,4,2,3,493,120,1970,Hobsons Bay City Council,-37.8355,144.881,Western Metropolitan,5498
Newport,108 Mason St,4,t,820000,S,Sweeney,2016-06-27,8.4,3015,4,2,2,753,204,2006,Hobsons Bay City Council,-37.8413,144.8741,Western Metropolitan,5498
Newport,9 Blackshaws Rd,3,h,600000,S,Village,2016-11-27,8.4,3015,3,1,2,493,120,1970,Hobsons Bay City Council,-37.8349,144.8808,Western Metropolitan,5498
Newport,4/71 Challis St,2,u,670000,SP,Purplebricks,2016-11-27,8.4,3015,2,1,1,190,120,1970,Hobsons Bay City Council,-37.8433,144.8725,Western Metropolitan,5498
Newport,12 Gordon St,3,h,1040000,S,hockingstuart,2016-11-27,8.4,3015,3,1,2,595,120,1970,Hobsons Bay City Council,-37.8394,144.8669,Western Metropolitan,5498
Newport,78A Oxford St,4,h,1316000,S,Williams,2016-11-27,8.4,3015,4,2,3,539,120,2000,Hobsons Bay City Council,-37.8366,144.8773,Western Metropolitan,5498
Newport,12 Severn St,2,h,816000,S,RT,2016-11-27,8.4,3015,2,1,1,315,104,1930,Hobsons Bay City Council,-37.8465,144.8714,Western Metropolitan,5498
Newport,7 Durkin St,3,h,945000,S,Jas,2016-05-28,8.4,3015,4,2,1,487,190,2017,Hobsons Bay City Council,-37.8438,144.8806,Western Metropolitan,5498
Newport,16 Milford St,2,h,760000,S,Williams,2016-08-28,8.4,3015,2,1,2,255,109,1930,Hobsons Bay City Council,-37.8469,144.8766,Western Metropolitan,5498
Newport,487 Melbourne Rd,8,h,881000,S,Jas,2016-07-30,8.4,3015,6,2,4,663,190,1920,Hobsons Bay City Council,-37.8385,144.8824,Western Metropolitan,5498
Newport,87 Schutt St,3,h,900000,SP,Greg,2016-07-30,8.4,3015,3,2,2,360,168,2013,Hobsons Bay City Council,-37.835,144.8814,Western Metropolitan,5498
Niddrie,28 Coghlan St,3,t,830000,S,Barry,2016-03-09,11.2,3042,3,3,2,303,236,2013,Moonee Valley City Council,-37.742,144.8885,Western Metropolitan,2291
Niddrie,3a Irving St,3,h,780000,PI,McDonald,2016-03-09,11.2,3042,3,2,2,274,120,1970,Moonee Valley City Council,-37.7353,144.8907,Western Metropolitan,2291
Niddrie,4 Coghlan St,3,h,1020000,PI,Barry,2016-03-12,11.2,3042,3,1,2,650,120,1970,Moonee Valley City Council,-37.7423,144.8905,Western Metropolitan,2291
Niddrie,51 Garnet St,1,h,1330000,S,Brad,2016-03-12,11.2,3042,1,1,1,846,120,1970,Moonee Valley City Council,-37.7467,144.8872,Western Metropolitan,2291
Niddrie,38 Muriel St,4,h,1126000,SP,Brad,2016-03-12,11.2,3042,4,2,2,650,150,1960,Moonee Valley City Council,-37.7429,144.888,Western Metropolitan,2291
Niddrie,3/42 Sapphire St,2,u,660000,S,Barry,2016-04-06,11.2,3042,2,2,1,217,113,2006,Moonee Valley City Council,-37.7465,144.8868,Western Metropolitan,2291
Niddrie,97 Haldane Rd,3,t,770000,S,Frank,2016-07-05,11.2,3042,3,2,1,313,145,2011,Moonee Valley City Council,-37.7335,144.8788,Western Metropolitan,2291
Niddrie,45a Nolan St,3,h,895500,S,Nelson,2016-07-05,11.2,3042,3,2,2,347,120,1970,Moonee Valley City Council,-37.7413,144.8871,Western Metropolitan,2291
Niddrie,39 Cuthbert St,4,h,1350000,SP,Barry,2016-07-11,11.2,3042,4,3,2,747,242,1985,Moonee Valley City Council,-37.7387,144.8827,Western Metropolitan,2291
Niddrie,2/55 Garnet St,3,t,820000,PI,Nelson,2016-07-11,11.2,3042,3,2,1,229,180,2012,Moonee Valley City Council,-37.7462,144.8873,Western Metropolitan,2291
Niddrie,2/49 Hamilton St,2,t,617500,S,Harcourts,2016-10-09,11.2,3042,2,1,1,237,120,1970,Moonee Valley City Council,-37.74,144.8851,Western Metropolitan,2291
Niddrie,7/93 Hoffmans Rd,2,u,490000,S,Brad,2016-10-12,11.2,3042,2,1,1,142,120,1970,Moonee Valley City Council,-37.7415,144.8914,Western Metropolitan,2291
Niddrie,5 Hamilton St,3,h,991000,S,Brad,2017-11-02,11.2,3042,3,1,1,716,139,1950,Moonee Valley City Council,-37.7368,144.8856,Western Metropolitan,2291
Niddrie,303/503 Keilor Rd,2,u,600000,PI,Barry,2017-11-02,11.2,3042,2,1,1,710,73,2015,Moonee Valley City Council,-37.7355,144.8874,Western Metropolitan,2291
Niddrie,47 Carrington Rd,3,u,970000,S,Nelson,2016-12-11,11.2,3042,3,2,1,320,167,1970,Moonee Valley City Council,-37.7377,144.888,Western Metropolitan,2291
Niddrie,87 Hotham Rd,2,h,657000,S,Barry,2016-12-11,11.2,3042,2,2,1,268,104,1950,Moonee Valley City Council,-37.7343,144.8783,Western Metropolitan,2291
Niddrie,45 Vaynor St,3,h,710000,S,Nelson,2016-12-11,11.2,3042,3,2,1,317,140,1950,Moonee Valley City Council,-37.7449,144.8869,Western Metropolitan,2291
Niddrie,21 Diamond St,3,h,840000,S,Brad,2016-08-13,11.2,3042,3,1,2,603,120,1970,Moonee Valley City Council,-37.7484,144.8892,Western Metropolitan,2291
Niddrie,21 Hamilton St,3,h,975000,S,Barry,2016-08-13,11.2,3042,3,1,1,822,120,1970,Moonee Valley City Council,-37.7379,144.8854,Western Metropolitan,2291
Niddrie,2/37 Garnet St,3,u,600000,SP,Barry,2016-05-14,11.2,3042,3,2,1,164,120,1970,Moonee Valley City Council,-37.7479,144.8868,Western Metropolitan,2291
Niddrie,17 George St,4,h,875000,VB,Barry,2016-05-14,11.2,3042,4,3,1,321,120,1970,Moonee Valley City Council,-37.7424,144.8851,Western Metropolitan,2291
Niddrie,98 Haldane Rd,3,h,785000,S,Barry,2016-05-14,11.2,3042,3,1,2,620,120,1970,Moonee Valley City Council,-37.7321,144.8771,Western Metropolitan,2291
Niddrie,2 Michael Ct,3,t,840000,S,Barry,2016-10-15,11.2,3042,3,2,2,374,180,1990,Moonee Valley City Council,-37.7445,144.8834,Western Metropolitan,2291
Niddrie,26 Nolan St,3,h,1076000,S,Barry,2016-04-16,11.2,3042,3,1,1,654,120,1970,Moonee Valley City Council,-37.7412,144.8888,Western Metropolitan,2291
Niddrie,11 Spring St,4,h,850000,S,Barry,2016-04-16,11.2,3042,4,3,2,641,120,1970,Moonee Valley City Council,-37.7317,144.8751,Western Metropolitan,2291
Niddrie,44 Jackson St,5,h,1400000,VB,Nelson,2016-09-17,11.2,3042,4,2,2,650,290,2005,Moonee Valley City Council,-37.7391,144.8875,Western Metropolitan,2291
Niddrie,2 Kelvin Cl,4,h,1080000,S,Nelson,2016-09-17,11.2,3042,3,3,2,539,162,1976,Moonee Valley City Council,-37.7444,144.8847,Western Metropolitan,2291
Niddrie,114 Hotham Rd,3,h,1065000,SP,Barry,2017-03-18,11.2,3042,3,1,2,653,120,1970,Moonee Valley City Council,-37.734,144.8785,Western Metropolitan,2291
Niddrie,2 Hanson St,3,h,773000,S,Nelson,2016-06-18,11.2,3042,3,2,2,403,120,1970,Moonee Valley City Council,-37.7324,144.8765,Western Metropolitan,2291
Niddrie,2/50 Jackson St,3,u,700000,S,Nelson,2016-06-18,11.2,3042,3,1,1,202,120,1970,Moonee Valley City Council,-37.7389,144.887,Western Metropolitan,2291
Niddrie,1/15 Ross St,3,u,760000,S,Barry,2016-06-18,11.2,3042,3,2,1,198,120,2008,Moonee Valley City Council,-37.7357,144.8908,Western Metropolitan,2291
Niddrie,31 Carrington Rd,2,h,1190000,S,Barry,2016-11-19,11.2,3042,2,1,2,650,120,1970,Moonee Valley City Council,-37.7378,144.8893,Western Metropolitan,2291
Niddrie,14 Rebecca Pl,4,t,600000,PN,Barry,2016-05-22,11.2,3042,4,2,2,312,267,2008,Moonee Valley City Council,-37.7431,144.8837,Western Metropolitan,2291
Niddrie,50 Hotham Rd,3,h,1015000,S,Barry,2016-08-22,11.2,3042,3,1,1,643,125,1950,Moonee Valley City Council,-37.736,144.8839,Western Metropolitan,2291
Niddrie,33 Newman St,3,h,875000,SP,Nelson,2016-08-22,11.2,3042,3,1,0,656,120,1950,Moonee Valley City Council,-37.738,144.8816,Western Metropolitan,2291
Niddrie,14 Haldane Rd,3,h,1020000,S,Barry,2017-02-25,11.2,3042,3,1,1,650,120,1970,Moonee Valley City Council,-37.7352,144.8845,Western Metropolitan,2291
Niddrie,2/26 Grandview Rd,3,u,773000,S,Barry,2016-07-26,11.2,3042,3,1,1,275,120,1970,Moonee Valley City Council,-37.7383,144.8898,Western Metropolitan,2291
Niddrie,142 Hotham Rd,2,u,522500,SP,Nelson,2016-07-26,11.2,3042,2,1,1,167,120,1970,Moonee Valley City Council,-37.7328,144.8764,Western Metropolitan,2291
Niddrie,4 Ida St,3,h,1100000,S,Barry,2016-06-27,11.2,3042,3,1,1,655,120,1970,Moonee Valley City Council,-37.7459,144.8906,Western Metropolitan,2291
Niddrie,4 Muriel St,2,h,1007000,S,Nelson,2016-06-27,11.2,3042,2,1,1,646,120,1970,Moonee Valley City Council,-37.7433,144.891,Western Metropolitan,2291
Niddrie,1/10 Nolan St,3,u,600000,S,Nelson,2016-06-27,11.2,3042,3,1,1,257,120,1970,Moonee Valley City Council,-37.7413,144.8901,Western Metropolitan,2291
Niddrie,29 Jackson St,3,h,1155000,S,Barry,2016-11-27,11.2,3042,3,2,3,653,120,1970,Moonee Valley City Council,-37.7396,144.8887,Western Metropolitan,2291
Niddrie,2/10 Nolan St,3,u,746000,S,Barry,2016-11-27,11.2,3042,3,1,1,256,120,1970,Moonee Valley City Council,-37.741,144.8901,Western Metropolitan,2291
Niddrie,38 Garnet St,4,h,1160000,PI,Paul,2016-05-28,11.2,3042,4,3,2,424,120,1970,Moonee Valley City Council,-37.748,144.8873,Western Metropolitan,2291
Niddrie,14 Vaynor St,3,h,1105000,S,Brad,2016-05-28,11.2,3042,3,1,1,643,119,1950,Moonee Valley City Council,-37.7449,144.8899,Western Metropolitan,2291
Niddrie,10 Grosvenor St,5,h,600000,SP,Nelson,2016-08-28,11.2,3042,5,2,4,1111,120,1980,Moonee Valley City Council,-37.7372,144.8808,Western Metropolitan,2291
Niddrie,1/49 Hamilton St,2,u,591000,S,Brad,2016-07-30,11.2,3042,2,1,1,269,120,1970,Moonee Valley City Council,-37.74,144.8851,Western Metropolitan,2291
Niddrie,8 Rutland St,3,h,960000,PI,Barry,2016-07-30,11.2,3042,3,1,1,645,120,1970,Moonee Valley City Council,-37.736,144.8809,Western Metropolitan,2291
Niddrie,2/42 Sapphire St,3,u,815000,S,Barry,2016-07-30,11.2,3042,3,2,2,203,120,1970,Moonee Valley City Council,-37.7465,144.8867,Western Metropolitan,2291
North Melbourne,10 Canning St,4,h,2920000,S,Nelson,2016-03-09,2.3,3051,4,3,4,310,276,1880,Melbourne City Council,-37.7958,144.944,Northern Metropolitan,6821
North Melbourne,90 Molesworth St,3,h,1635000,S,Nelson,2016-03-09,2.3,3051,2,1,0,517,120,1970,Melbourne City Council,-37.7967,144.9472,Northern Metropolitan,6821
North Melbourne,11 Erskine Pl,2,t,600000,PI,Nardella,2016-06-08,2.3,3051,2,1,1,102,95,2003,Melbourne City Council,-37.7941,144.9437,Northern Metropolitan,6821
North Melbourne,12/25 Byron St,1,u,410000,VB,Jellis,2016-07-11,2.3,3051,1,1,1,1045,55,2011,Melbourne City Council,-37.802,144.9516,Northern Metropolitan,6821
North Melbourne,331 Flemington Rd,4,h,1330000,S,McDonald,2016-10-09,2.3,3051,3,2,1,246,120,1970,Melbourne City Council,-37.7914,144.9439,Northern Metropolitan,6821
North Melbourne,2 Haines St,4,h,600000,S,Jellis,2016-10-09,2.3,3051,3,2,2,156,150,1880,Melbourne City Council,-37.7987,144.9499,Northern Metropolitan,6821
North Melbourne,9 Harris St,2,h,600000,S,Gary,2016-10-12,2.3,3051,2,2,1,133,97,1900,Melbourne City Council,-37.7996,144.9492,Northern Metropolitan,6821
North Melbourne,23/43 Haines St,2,u,450000,VB,W.B.,2016-12-11,2.3,3051,2,1,1,1588,71,1970,Melbourne City Council,-37.7988,144.9478,Northern Metropolitan,6821
North Melbourne,44 Byron St,2,h,990000,S,Nelson,2016-10-15,2.3,3051,2,2,1,584,120,2008,Melbourne City Council,-37.8016,144.9508,Northern Metropolitan,6821
North Melbourne,5 Carroll St,3,h,600000,SP,RT,2016-04-16,2.3,3051,3,1,1,146,117,1890,Melbourne City Council,-37.7959,144.9455,Northern Metropolitan,6821
North Melbourne,3 Murphy St,3,h,1470000,S,Jellis,2016-09-17,2.3,3051,2,1,0,232,93,1930,Melbourne City Council,-37.7977,144.9512,Northern Metropolitan,6821
North Melbourne,46 Shiel St,4,h,600000,S,hockingstuart,2016-06-18,2.3,3051,4,2,1,159,120,1970,Melbourne City Council,-37.7965,144.9429,Northern Metropolitan,6821
North Melbourne,18 Melrose St,2,h,1010000,S,Jellis,2016-11-19,2.3,3051,2,2,0,109,100,1900,Melbourne City Council,-37.795,144.942,Northern Metropolitan,6821
North Melbourne,674 Victoria St,2,h,1266000,S,Jellis,2016-11-19,2.3,3051,2,1,0,161,106,1960,Melbourne City Council,-37.8043,144.9437,Northern Metropolitan,6821
North Melbourne,443 Abbotsford St,2,h,1200000,SP,Jellis,2016-09-24,2.3,3051,2,2,1,146,120,1970,Melbourne City Council,-37.7959,144.9464,Northern Metropolitan,6821
North Melbourne,28 Alfred St,3,h,600000,S,Jellis,2017-02-25,2.3,3051,3,1,0,176,95,1900,Melbourne City Council,-37.7906,144.9408,Northern Metropolitan,6821
North Melbourne,21/70 Oshanassy St,2,u,560000,S,Jellis,2017-02-25,2.3,3051,2,1,1,2300,68,1975,Melbourne City Council,-37.7997,144.9472,Northern Metropolitan,6821
North Melbourne,14/7 Curran St,2,u,550055,SP,Jellis,2016-11-27,2.3,3051,2,1,2,1004,65,1971,Melbourne City Council,-37.7926,144.9441,Northern Metropolitan,6821
North Melbourne,12 Curzon St,2,h,885000,S,Jellis,2016-08-28,2.3,3051,2,1,1,111,73,1880,Melbourne City Council,-37.8044,144.9481,Northern Metropolitan,6821
North Melbourne,3 George St,2,h,600000,S,Jellis,2016-08-28,2.3,3051,2,1,1,160,69,1910,Melbourne City Council,-37.7904,144.9409,Northern Metropolitan,6821
Northcote,43 Christmas St,2,h,1286000,S,McGrath,2016-03-09,5.5,3070,2,1,1,245,108,1890,Darebin City Council,-37.7662,145.0096,Northern Metropolitan,11364
Northcote,30 Clarke St,3,h,1200000,S,Nelson,2016-03-09,5.5,3070,3,1,1,215,125,1920,Darebin City Council,-37.7759,144.9909,Northern Metropolitan,11364
Northcote,57A Derby St,3,h,1382500,SA,Nelson,2016-03-09,5.5,3070,3,2,2,286,188,2007,Darebin City Council,-37.7708,145.0054,Northern Metropolitan,11364
Northcote,24 Jessie St,4,h,1600000,VB,Jellis,2016-03-09,5.5,3070,4,2,1,464,179,1910,Darebin City Council,-37.7805,145.004,Northern Metropolitan,11364
Northcote,103 Bastings St,4,h,600000,SP,Ray,2016-03-12,5.5,3070,4,2,2,460,205,1965,Darebin City Council,-37.7747,145.0061,Northern Metropolitan,11364
Northcote,119 Bent St,2,h,600000,S,Nelson,2016-03-12,5.5,3070,2,1,1,186,108,1900,Darebin City Council,-37.7667,144.991,Northern Metropolitan,11364
Northcote,65 Bastings St,3,h,1310000,PI,Jellis,2017-04-03,5.5,3070,3,2,1,267,120,1920,Darebin City Council,-37.7744,145.0033,Northern Metropolitan,11364
Northcote,18 Claude St,2,h,1035000,S,Nelson,2017-04-03,5.5,3070,2,1,0,140,120,1970,Darebin City Council,-37.7709,144.9964,Northern Metropolitan,11364
Northcote,220 Victoria Rd,3,h,1980000,S,McGrath,2017-04-03,5.5,3070,3,2,4,613,120,1970,Darebin City Council,-37.7664,145.0121,Northern Metropolitan,11364
Northcote,4 Wilmoth St,3,h,1335000,S,Ray,2017-04-03,5.5,3070,3,1,3,520,120,1970,Darebin City Council,-37.7683,145.0156,Northern Metropolitan,11364
